OrderID,Date,Region,Fabric Type,Product,Buyer Type,Quantity (Meters),Revenue,Defect Rate (%)
TX-2000,2023-11-28,Punjab,Cotton,Garment Lot,Local Retailer,3602.0,32994.32,6.79
TX-2001,2023-03-05,Multan,Silk,Garment Lot,Export - USA,4639.0,44348.84,5.95
TX-2002,2023-03-03,Multan,Polyester,Curtain Cloth,Export - Europe,1522.0,14413.34,8.75
TX-2003,2024-03-04,Sindh,Cotton,Shirt Fabric,Export - USA,4919.0,14215.91,3.24
TX-2004,2023-11-14,Multan,Denim,Curtain Cloth,Local Retailer,285.0,2114.24,10.46
TX-2005,2023-05-21,Faisalabad,Polyester,Towel,Export - Europe,1289.0,10698.7,0.05
TX-2006,2023-05-09,Lahore,Cotton,Garment Lot,Wholesale Distributor,3278.0,9211.18,2.51
TX-2007,2023-01-01,Punjab,Cotton,Towel,Export - USA,4983.0,64978.32,5.81
TX-2008,2023-09-29,Multan,Linen,Garment Lot,Export - USA,795.0,5382.15,6.39
TX-2009,2023-07-19,Multan,Denim,Bedsheet,Wholesale Distributor,2173.0,14081.04,4.19
TX-2010,2024-04-26,Karachi,Linen,Shirt Fabric,Local Retailer,1032.0,12126.0,9.47
TX-2011,2024-10-02,Punjab,Silk,Curtain Cloth,Export - Europe,4931.0,32347.36,0.17
TX-2012,2023-05-23,Multan,Silk,Garment Lot,Wholesale Distributor,1123.0,15351.41,6.2
TX-2013,2023-06-05,Karachi,Silk,Garment Lot,Local Retailer,2720.0,22494.4,0.68
TX-2014,2023-04-11,Punjab,Linen,Towel,Wholesale Distributor,4212.0,59978.88,11.31
TX-2015,2024-04-03,Karachi,Silk,Shirt Fabric,Export - Europe,3049.0,44454.42,4.78
TX-2016,2023-06-15,Lahore,Silk,Towel,Wholesale Distributor,3658.0,31934.34,1.35
TX-2017,2023-03-28,Sindh,Denim,Shirt Fabric,Wholesale Distributor,2729.0,29882.55,11.26
TX-2018,2023-08-16,Multan,Linen,Shirt Fabric,Local Retailer,4366.0,63743.6,11.19
TX-2019,2024-04-01,Faisalabad,Linen,Garment Lot,Export - Europe,4262.0,14405.56,5.94
TX-2020,2023-08-09,Multan,Denim,Towel,Export - USA,3578.0,46299.32,3.38
TX-2021,2023-11-06,Faisalabad,Linen,Shirt Fabric,Export - Europe,58.0,326.54,9.31
TX-2022,2024-08-23,Faisalabad,Cotton,Towel,Wholesale Distributor,2721.0,15482.49,9.9
TX-2023,2024-06-01,Lahore,Cotton,Towel,Local Retailer,1140.0,10442.4,0.23
TX-2024,2024-04-12,Lahore,Linen,Curtain Cloth,Local Retailer,2225.0,11125.0,5.95
TX-2025,2024-01-12,Lahore,Cotton,Shirt Fabric,Export - USA,4701.0,39112.32,2.61
TX-2026,2024-04-22,Lahore,Linen,Curtain Cloth,Wholesale Distributor,2250.0,31725.0,1.08
TX-2027,2024-09-09,Punjab,Denim,Towel,Wholesale Distributor,3742.0,27728.22,3.98
TX-2028,2024-09-09,Multan,Cotton,Garment Lot,Wholesale Distributor,2304.0,6151.68,1.79
TX-2029,2024-01-18,Multan,Linen,Towel,Wholesale Distributor,3743.0,49781.9,6.6
TX-2030,2023-09-19,Multan,Silk,Curtain Cloth,Export - Europe,665.0,5625.9,11.96
TX-2031,2023-04-03,Punjab,Polyester,Bedsheet,Wholesale Distributor,3186.0,21983.4,3.33
TX-2032,2024-10-06,Sindh,Denim,Bedsheet,Wholesale Distributor,3927.0,11584.65,6.33
TX-2033,2023-08-18,Multan,Denim,Towel,Export - Europe,1955.0,14444.04,5.25
TX-2034,2024-08-19,Multan,Linen,Shirt Fabric,Export - Europe,3943.0,9384.34,0.66
TX-2035,2023-03-25,Karachi,Cotton,Curtain Cloth,Wholesale Distributor,1387.0,12708.22,5.95
TX-2036,2024-04-21,Faisalabad,Denim,Towel,Local Retailer,4922.0,23477.94,5.95
TX-2037,2024-07-02,Faisalabad,Cotton,Towel,Wholesale Distributor,311.0,4015.01,5.95
TX-2038,2023-03-24,Punjab,Silk,Shirt Fabric,Wholesale Distributor,655.0,5716.17,4.37
TX-2039,2024-02-25,Karachi,Denim,Bedsheet,Local Retailer,2827.0,40708.8,8.96
TX-2040,2024-09-01,Punjab,Cotton,Curtain Cloth,Wholesale Distributor,2106.0,19290.96,11.17
TX-2041,2023-08-30,Karachi,Linen,Curtain Cloth,Export - Europe,3390.0,5021.22,11.85
TX-2042,2024-05-25,Sindh,Denim,Towel,Local Retailer,2457.0,16830.45,2.97
